page,uses_db,uses_api,api_dependencies
IntelligentOffice.'Provider Management',True,False,
IntelligentOffice.'Provider Statements',True,False,
IntelligentOffice.'Providers',True,False,
IntelligentOffice.'Queue Tasks',True,False,
IntelligentOffice.'Quotes & Apps',True,False,
IntelligentOffice.'Quotes',True,False,
IntelligentOffice.'Rebalance',True,True,Microservice.Recommend
IntelligentOffice.'Recent Items',True,False,
IntelligentOffice.'Reference Data',True,False,
IntelligentOffice.'Registers',True,False,
IntelligentOffice.'Report List',True,False,
IntelligentOffice.'Reports',True,False,
IntelligentOffice.'Retirement',True,False,
IntelligentOffice.'Risk & Models',True,False,
IntelligentOffice.'Roles',True,False,
IntelligentOffice.'Sales Search',True,False,
IntelligentOffice.'Sales',True,False,
IntelligentOffice.'Scanner Settings',True,False,
IntelligentOffice.'Schedule Bulk Valuations',True,False,
IntelligentOffice.'Schedule Income Files',True,False,
IntelligentOffice.'Scheduler',True,False,
IntelligentOffice.'Search',True,False,
IntelligentOffice.'Secure Messaging',True,True,Monolith.warehouse
IntelligentOffice.'Security',True,False,
IntelligentOffice.'Service Case',True,False,
IntelligentOffice.'Set Up',True,False,
IntelligentOffice.'Set-Up',True,False,
IntelligentOffice.'Settings',True,False,
IntelligentOffice.'Setup',True,False,
IntelligentOffice.'Snippets',True,True,Microservice.Author
IntelligentOffice.'Statement Search',True,False,
IntelligentOffice.'Storage',True,False,
IntelligentOffice.'Structure',True,False,
IntelligentOffice.'Summary',True,False,
IntelligentOffice.'T&C Coaches',True,False,
IntelligentOffice.'Targets',True,False,
IntelligentOffice.'Tasks',True,True,Microservice.SecureMessaging
IntelligentOffice.'Template Types',True,False,
IntelligentOffice.'Templates',True,True,"Microservice.Author, Microservice.Workflow"
IntelligentOffice.'Timesheet',True,False,
IntelligentOffice.'Tools',True,False,
IntelligentOffice.'Training',True,False,
IntelligentOffice.'Unallocated Income',True,False,
IntelligentOffice.'Uploads',True,False,
IntelligentOffice.'User Names & Passwords',True,False,
IntelligentOffice.'Users',True,False,
IntelligentOffice.'Valuation',True,False,
IntelligentOffice.'Workflow',True,True,Microservice.Workflow
IntelligentOffice.'[New] Valuation',True,True,Monolith.Valuation
IntelligentOffice.'iO Store',False,False,
